Number,  Location,  Area,  Price,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
1098,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1099,Kibagabaga,28/30 m,180 000 000  Rwf,5.0,4.0,,,,,
1100,Kimironko,30/25 m,85 000 000  Rwf,,1.0,,,,Yes,Yes
1101,Kanombe, sqm,38 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1102,Nyarutarama,30/35 m,450 000 000  Rwf,6.0,5.0,Yes,,,Yes,Yes
1103,Kabuga, sqm,29 000 000  Rwf,4.0,3.0,,Yes,,,
1104,Kicukiro,25/30 m,50 000 000  Rwf,,1.0,,,,Yes,Yes
1105,Kimironko,20/30 m,150 000 000  Rwf,5.0,4.0,,,,Yes,Yes
1106,Niboyi, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1107,Kanombe,20/25 m,45 000 000  Rwf,4.0,3.0,,,,Yes,
1108,, sqm,110 000 000  Rwf,5.0,3.0,,,Yes,,
1109,Kanombe,27/20 m,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1110,Kacyiru,5000 sqm, 15 000 000 $,51.0,,,,,,
1111,Kimironko,25/20 m,140 000 000  Rwf,4.0,1.0,,,,Yes,Yes
1112,Gikondo, sqm,40 000 000  Rwf,4.0,2.0,,,,Yes,Yes
1113,Kagarama,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1114,Bumbogo,17/22 m,7 000 000  Rwf,3.0,,,,,,
1115,,2 sqm,100 000 000  Rwf,,1.0,Yes,,Yes,Yes,Yes
1116,Kimironko,35/35 m,650 000 000  Rwf,4.0,1.0,Yes,Yes,Yes,Yes,
1117,Kimironko,25/30 m,55 000 000  Rwf,4.0,3.0,,,,,
1118,Kicukiro, sqm,35 000 000  Rwf,4.0,2.0,,Yes,,Yes,
1119,Kimironko, sqm,38 000 000  Rwf,4.0,3.0,,Yes,,,
1120,Zindiro, sqm,28 000 000  Rwf,,,,,,,
1121,Gikondo,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,
1122,Kicukiro,20/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1123,Gishushu,1444 sqm,140 000 000  Rwf,5.0,4.0,,,,Yes,Yes
1124,Gikondo,20/30 m,30 000 000  Rwf,4.0,3.0,,,,,
1125,Gisogi,30/30 m,68 000 000  Rwf,5.0,3.0,Yes,Yes,Yes,Yes,
1126,Kimironko,20/25 m,75 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1127,Kibagabaga,25/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1128,Kicukiro,30/30 m,85 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1129,,22/30 m,15 000 000  Rwf,3.0,1.0,,,,Yes,
1130,Nyamata, sqm,29 000 000  Rwf,4.0,3.0,,,Yes,,Yes
